H;E;Q;speed_mm_min
24.0;E2;0.6;5.592168365387946
24.0;E3;0.35;3.418980975752356
24.0;E3;0.5;3.902809311164568
24.0;E3;0.6;3.935327812473365
25.0;E1;0.35;3.721178418115026
25.0;E1;0.5;3.8909535611588866
25.0;E1;0.6;4.152276310888035
25.0;E2;0.35;3.942260869565217
25.0;E2;0.5;4.30028328611898
25.0;E2;0.6;4.600265097840006
25.0;E3;0.35;3.8694553114676062
25.0;E3;0.5;4.561167537456693
25.0;E3;0.6;4.867680575203428
25.0;E5;0.35;5.808782721817074
25.0;E5;0.5;5.808782721817074
25.0;E5;0.6;5.808782721817074
25.0;E7;0.35;5.985908450704225
25.0;E7;0.5;5.985908450704225
25.0;E7;0.6;5.985908450704225
26.0;E1;0.35;3.976566656541874
26.0;E1;0.5;4.385205580202832
26.0;E1;0.6;4.779928825622775
26.0;E2;0.35;4.1040237969274616
26.0;E2;0.5;4.491124260355029
26.0;E2;0.6;4.785836750039504
26.0;E3;0.35;3.638239138676169
26.0;E3;0.5;3.7812296774825036
26.0;E3;0.6;3.9809408382498077
27.0;E1;0.35;3.789038262668046
27.0;E1;0.5;3.8664475005820544
27.0;E1;0.6;4.228545292004008
27.0;E2;0.35;4.421903964808909
27.0;E2;0.5;4.816537276616225
27.0;E2;0.6;5.295468461384568
27.0;E3;0.35;3.9568755331089713
27.0;E3;0.5;4.595307380806483
27.0;E3;0.6;4.745167330260395
28.0;E1;0.35;3.58311938989628
28.0;E1;0.5;4.004056795131846
28.0;E1;0.6;4.258064516129032
28.0;E2;0.35;4.34381898454746
28.0;E2;0.5;4.773612842350445
28.0;E2;0.6;5.20750888023756
28.0;E3;0.35;4.576271186440678
28.0;E3;0.5;4.615384615384615
28.0;E3;0.6;4.694199672667757
28.0;E4;0.35;4.0153649133578835
28.0;E4;0.5;4.165919871323515
28.0;E4;0.6;4.830392702564646
29.0;E1;0.35;3.5384615384615383
29.0;E1;0.5;3.616583162217659
29.0;E1;0.6;4.0441457827143354
29.0;E2;0.35;4.053980278616708
29.0;E2;0.5;4.76390977443609
29.0;E2;0.6;5.182978723404255
29.0;E3;0.35;4.6493117514304
29.0;E3;0.5;4.714845244856521
29.0;E3;0.6;4.74713870543773
30.0;E1;0.35;3.64469767137019
30.0;E1;0.5;4.049244219066729
30.0;E1;0.6;4.373298154853767
30.0;E2;0.35;4.306451397991141
30.0;E2;0.5;4.731958762886598
30.0;E2;0.6;5.141892639634454
30.0;E3;0.35;3.704513993437167
30.0;E3;0.5;4.2016713091922
30.0;E3;0.6;4.632669472097272
30.0;E4;0.35;5.063597268903803
30.0;E4;0.5;5.564585519697803
30.0;E4;0.6;6.065573770491803
30.0;E5;0.35;3.442319496231284
30.0;E5;0.5;3.442319496231284
30.0;E5;0.6;3.442319496231284
30.0;E502;0.35;4.808351862145637
30.0;E502;0.5;4.934997220678154
30.0;E502;0.6;5.019427459699832
31.0;E1;0.35;3.2748158853436675
31.0;E1;0.5;3.3114512779855096
31.0;E1;0.6;3.572640410958904
31.0;E2;0.35;3.806212445774783
31.0;E2;0.5;5.139240506329114
31.0;E2;0.6;5.417505643137074
31.0;E3;0.35;3.231145835451745
31.0;E3;0.5;3.7597342165864163
31.0;E3;0.6;4.112126470676197
32.0;E1;0.35;3.51123677317542
32.0;E1;0.5;3.786957975021638
32.0;E1;0.6;4.047237430423053
32.0;E2;0.35;4.090508478370444
32.0;E2;0.5;4.3508522727272725
32.0;E2;0.6;4.521665467901293
32.0;E3;0.35;3.401090142328471
32.0;E3;0.5;3.7912612113416384
32.0;E3;0.6;4.138615612906404
33.0;E1;0.35;3.5522471254284316
33.0;E1;0.5;3.746685398455617
33.0;E1;0.6;3.9695364238410593
33.0;E2;0.35;4.383508512253101
33.0;E2;0.5;4.761531367719291
33.0;E2;0.6;5.055611469494627
33.0;E3;0.35;4.974898083514489
33.0;E3;0.5;5.285777399548461
33.0;E3;0.6;5.493030276904442
34.0;E1;0.35;3.388704318936877
34.0;E1;0.5;3.661104271971933
34.0;E1;0.6;3.819245684204072
34.0;E2;0.35;3.797043594377042
34.0;E2;0.5;4.2051522786785975
34.0;E2;0.6;4.6089860761320205
34.0;E3;0.35;4.417743516148887
34.0;E3;0.5;4.677042210523876
34.0;E3;0.6;4.710500217539434
35.0;E1;0.35;3.5312617690215014
35.0;E1;0.5;3.8080995024875626
35.0;E1;0.6;4.027588145166065
35.0;E2;0.35;3.6211975921285706
35.0;E2;0.5;4.062447516245302
35.0;E2;0.6;4.4053277311296455
35.0;E3;0.35;3.4733450555310688
